"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","With VIEW_PORTFOLIO Permission The User Verifies Access","chromium_test_workflow","Wed Jan 14 00:23:54 UTC 2026","skipped","Wed Jan 14 00:23:54 UTC 2026","VIEW_PORTFOLIO","playwright-tests/features/@permissions/view-portfolio.feature.spec.js","",""
"","10347","Change Initial Password As Admin","setup_initial","Wed Jan 14 00:21:06 UTC 2026","passed","Wed Jan 14 00:21:17 UTC 2026","","../../setup/initial-setup.ts","",""
"","1","With BOM_UPLOAD Permission The User Can See The BOM Upload Button","chromium_test_workflow","Wed Jan 14 00:23:54 UTC 2026","skipped","Wed Jan 14 00:23:54 UTC 2026","VIEW_PORTFOLIO x BOM_UPLOAD","playwright-tests/features/@permissions/bom-upload.feature.spec.js","",""
"","0","With VIEW_POLICY_VIOLATION Permission The User Can See Audit View On Policy Violations Project Page","chromium_test_workflow","Wed Jan 14 00:23:54 UTC 2026","skipped","Wed Jan 14 00:23:54 UTC 2026","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION","playwright-tests/features/@permissions/view-policy-violation.feature.spec.js","",""
"","0","With TAG_MANAGEMENT Permission The User Can See The Tag Management Tab","chromium_test_workflow","Wed Jan 14 00:23:54 UTC 2026","skipped","Wed Jan 14 00:23:54 UTC 2026","VIEW_PORTFOLIO x TAG_MANAGEMENT","playwright-tests/features/@permissions/tag-management.feature.spec.js","",""
"","0","Without VIEW_POLICY_VIOLATION Permission The User Cannot See The Policy Violations On Project Page","chromium_test_workflow","Wed Jan 14 00:23:54 UTC 2026","skipped","Wed Jan 14 00:23:54 UTC 2026","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION","playwright-tests/features/@permissions/view-policy-violation.feature.spec.js","",""
"","0","With VIEW_POLICY_VIOLATION x POLICY_VIOLATION_ANALYSIS Permission The User Can See Audit View On Policy Violations Project Page And Can Audit Them","chromium_test_workflow","Wed Jan 14 00:23:54 UTC 2026","skipped","Wed Jan 14 00:23:54 UTC 2026","VIEW_PORTFOLIO x VIEW_POLICY_VIOLATION x POLICY_VIOLATION_ANALYSIS","playwright-tests/features/@permissions/view-policy-violation_x_policy-violation-analysis.feature.spec.js","",""
"","0","With VIEW_VULNERABILITY Permission The User ...","chromium_test_workflow","Wed Jan 14 00:23:54 UTC 2026","skipped","Wed Jan 14 00:23:54 UTC 2026","VIEW_PORTFOLIO x VIEW_VULNERABILITY x VULNERABILITY_ANALYSIS","playwright-tests/features/@permissions/view-vulnerability_x_vulnerability-analysis.feature.spec.js","",""
"","0","With SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT Permission The User Can See Administration Tab","chromium_test_workflow","Wed Jan 14 00:23:54 UTC 2026","skipped","Wed Jan 14 00:23:54 UTC 2026","VIEW_PORTFOLIO x SYSTEM_CONFIGURATION x ACCESS_MANAGEMENT","playwright-tests/features/@permissions/system-configuration_x_access-management.feature.spec.js","",""
"","4162","Store Admin Authentication","setup_admin_authentication","Wed Jan 14 00:21:18 UTC 2026","passed","Wed Jan 14 00:21:23 UTC 2026","","../../setup/auth-setup.ts","",""
"","9225","Delete All Test Projects Before Tests","setup_provisioning","Wed Jan 14 00:21:37 UTC 2026","passed","Wed Jan 14 00:21:46 UTC 2026","","../setup/playwright-tests/features/@setup/provisioning.feature.spec.js","",""
"","0","With VULNERABILITY_MANAGEMENT Permission The User Can See The Vulnerability Create Button","chromium_test_workflow","Wed Jan 14 00:23:54 UTC 2026","skipped","Wed Jan 14 00:23:54 UTC 2026","VIEW_PORTFOLIO x VULNERABILITY_MANAGEMENT","playwright-tests/features/@permissions/vulnerability-management.feature.spec.js","",""
"","0","With VIEW_VULNERABILITY But Without VULNERABILITY_ANALYSIS Permission The User ...","chromium_test_workflow","Wed Jan 14 00:23:54 UTC 2026","skipped","Wed Jan 14 00:23:54 UTC 2026","VIEW_PORTFOLIO x VIEW_VULNERABILITY x VULNERABILITY_ANALYSIS","playwright-tests/features/@permissions/view-vulnerability_x_vulnerability-analysis.feature.spec.js","",""
"","0","The Admin User Validates A Test Project With A Recently Uploaded BOM","chromium_test_workflow","Wed Jan 14 00:23:54 UTC 2026","skipped","Wed Jan 14 00:23:54 UTC 2026","Validate BOM Upload","playwright-tests/features/@projects/validate_bom_upload.feature.spec.js","",""
"","1","Without TAG_MANAGEMENT Permission The User Cannot See The Tag Management Tab","chromium_test_workflow","Wed Jan 14 00:23:54 UTC 2026","skipped","Wed Jan 14 00:23:54 UTC 2026","VIEW_PORTFOLIO x TAG_MANAGEMENT","playwright-tests/features/@permissions/tag-management.feature.spec.js","",""
